"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.netflix.conductor.common.metadata.events","C:\User\pavan\Projects\conductor\common\src\main\java\com\netflix\conductor\common\metadata\events\EventExecution.java","3","25","The class 'EventExecution' is suspected to be a Data Class (WOC=11.111%, NOPA=0, NOAM=16, WMC=23)","Design","DataClass"
"1","com.netflix.conductor.common.metadata.events","C:\User\pavan\Projects\conductor\common\src\main\java\com\netflix\conductor\common\metadata\events\EventHandler.java","3","33","The class 'EventHandler' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=12, WMC=13)","Design","DataClass"
"2","com.netflix.conductor.common.metadata.events","C:\User\pavan\Projects\conductor\common\src\main\java\com\netflix\conductor\common\metadata\events\EventHandler.java","3","144","The class 'Action' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=10, WMC=10)","Design","DataClass"
"3","com.netflix.conductor.common.metadata.events","C:\User\pavan\Projects\conductor\common\src\main\java\com\netflix\conductor\common\metadata\events\EventHandler.java","3","241","The class 'TaskDetails' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=10, WMC=10)","Design","DataClass"
"4","com.netflix.conductor.common.metadata.events","C:\User\pavan\Projects\conductor\common\src\main\java\com\netflix\conductor\common\metadata\events\EventHandler.java","3","325","The class 'StartWorkflow' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=12, WMC=12)","Design","DataClass"
"1","com.netflix.conductor.common.metadata.tasks","C:\User\pavan\Projects\conductor\common\src\main\java\com\netflix\conductor\common\metadata\tasks\PollData.java","3","21","The class 'PollData' is suspected to be a Data Class (WOC=27.273%, NOPA=0, NOAM=8, WMC=16)","Design","DataClass"
"1","com.netflix.conductor.common.metadata.tasks","C:\User\pavan\Projects\conductor\common\src\main\java\com\netflix\conductor\common\metadata\tasks\Task.java","3","31","Possible God Class (WMC=108, ATFD=75, TCC=5.235%)","Design","GodClass"
"2","com.netflix.conductor.common.metadata.tasks","C:\User\pavan\Projects\conductor\common\src\main\java\com\netflix\conductor\common\metadata\tasks\Task.java","3","31","The class 'Task' has a total cyclomatic complexity of 108 (highest 6).","Design","CyclomaticComplexity"
"3","com.netflix.conductor.common.metadata.tasks","C:\User\pavan\Projects\conductor\common\src\main\java\com\netflix\conductor\common\metadata\tasks\Task.java","3","31","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"4","com.netflix.conductor.common.metadata.tasks","C:\User\pavan\Projects\conductor\common\src\main\java\com\netflix\conductor\common\metadata\tasks\Task.java","3","915","The method 'equals(Object)' has an NPath complexity of 228, current threshold is 200","Design","NPathComplexity"
"5","com.netflix.conductor.common.metadata.tasks","C:\User\pavan\Projects\conductor\common\src\main\java\com\netflix\conductor\common\metadata\tasks\Task.java","3","939","Call to `getStatus` on foreign value `task` (degree 1)","Design","LawOfDemeter"
"1","com.netflix.conductor.common.metadata.tasks","C:\User\pavan\Projects\conductor\common\src\main\java\com\netflix\conductor\common\metadata\tasks\TaskDef.java","3","37","Possible God Class (WMC=53, ATFD=18, TCC=2.671%)","Design","GodClass"
"2","com.netflix.conductor.common.metadata.tasks","C:\User\pavan\Projects\conductor\common\src\main\java\com\netflix\conductor\common\metadata\tasks\TaskDef.java","3","452","Call to `getTimeoutPolicy` on foreign value `taskDef` (degree 1)","Design","LawOfDemeter"
"3","com.netflix.conductor.common.metadata.tasks","C:\User\pavan\Projects\conductor\common\src\main\java\com\netflix\conductor\common\metadata\tasks\TaskDef.java","3","453","Call to `getRetryLogic` on foreign value `taskDef` (degree 1)","Design","LawOfDemeter"
"1","com.netflix.conductor.common.metadata.tasks","C:\User\pavan\Projects\conductor\common\src\main\java\com\netflix\conductor\common\metadata\tasks\TaskExecLog.java","3","22","The class 'TaskExecLog' is suspected to be a Data Class (WOC=25.000%, NOPA=0, NOAM=6, WMC=13)","Design","DataClass"
"1","com.netflix.conductor.common.metadata.tasks","C:\User\pavan\Projects\conductor\common\src\main\java\com\netflix\conductor\common\metadata\tasks\TaskResult.java","3","33","The class 'TaskResult' is suspected to be a Data Class (WOC=25.000%, NOPA=0, NOAM=24, WMC=39)","Design","DataClass"
"1","com.netflix.conductor.common.metadata.workflow","C:\User\pavan\Projects\conductor\common\src\main\java\com\netflix\conductor\common\metadata\workflow\DynamicForkJoinTask.java","3","23","The class 'DynamicForkJoinTask' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=10, WMC=13)","Design","DataClass"
